date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-09-03,28.8875,19.316666666666666,759.75,85.27499999999999,30.65416666666667,69.875,0.18083333333333332,4.458333333333333,2.1645833333333333,77.375,58.75
2022-09-04,33.295833333333334,22.287499999999998,788.875,89.44583333333333,32.13333333333333,74.08333333333333,0.2175,5.333333333333333,2.033333333333333,81.95833333333333,58.958333333333336
2022-09-05,30.787499999999998,20.645833333333332,803.4583333333334,91.4875,40.775,73.625,0.19875,4.541666666666667,2.089583333333333,85.58333333333333,59.333333333333336
2022-09-06,31.1875,20.291666666666668,518.2916666666666,70.72500000000001,23.925,78.08333333333333,0.2520833333333333,7.625,1.9583333333333333,80.375,57.75
2022-09-07,26.09583333333333,15.920833333333334,360.7083333333333,54.449999999999996,16.270833333333332,77.91666666666667,0.33125,11.5,1.929166666666667,65.375,47.75
2022-09-08,35.72083333333333,21.441666666666666,480.75,66.23333333333333,22.77916666666667,66.125,0.4375,17.833333333333332,1.8291666666666666,67.41666666666667,52.166666666666664
2022-09-09,34.57083333333333,20.316666666666666,526.2916666666666,65.69583333333334,18.779166666666665,67.375,0.4116666666666666,19.041666666666668,1.7333333333333334,70.20833333333333,52.0
2022-09-10,35.483333333333334,21.129166666666666,716.8333333333334,68.56666666666666,22.974999999999998,59.75,0.24958333333333335,18.5,1.8875,70.5,50.208333333333336
2022-09-11,33.300000000000004,20.383333333333333,722.5833333333334,76.75,33.1625,53.833333333333336,0.265,14.875,1.79375,72.125,52.666666666666664
2022-09-12,29.520833333333332,18.2375,585.8333333333334,65.79166666666667,24.170833333333334,63.166666666666664,0.21625000000000003,12.083333333333334,1.8145833333333334,65.95833333333333,50.291666666666664
2022-09-13,36.420833333333334,21.8625,741.4166666666666,73.60416666666667,27.491666666666664,60.5,0.24541666666666664,18.25,1.78125,70.5,53.875
2022-09-14,37.65,21.816666666666666,948.3333333333334,87.3,36.6,54.416666666666664,0.32916666666666666,21.0,1.7541666666666667,72.0,57.583333333333336
2022-09-15,41.05416666666667,22.0125,661.3333333333334,81.59166666666667,29.625,70.41666666666667,0.3233333333333333,30.916666666666668,1.7583333333333335,77.45833333333333,56.458333333333336
2022-09-16,34.237500000000004,20.229166666666668,867.0416666666666,85.6875,30.61666666666667,71.66666666666667,0.24625,16.416666666666668,1.6583333333333332,82.70833333333333,56.25
2022-09-17,40.55833333333333,25.3,915.125,89.4375,34.44583333333333,60.666666666666664,0.225,14.75,1.6875,81.375,61.75
2022-09-18,33.32083333333333,20.9875,810.5,79.2625,29.679166666666664,55.0,0.19583333333333333,11.125,1.65625,75.70833333333333,58.041666666666664
2022-09-19,32.63333333333333,21.333333333333332,796.125,82.60416666666667,30.21666666666667,56.583333333333336,0.2504166666666667,7.625,1.6187500000000001,70.08333333333333,56.5
2022-09-20,35.37083333333333,22.679166666666664,682.4166666666666,81.00833333333334,23.162499999999998,60.708333333333336,0.43124999999999997,10.791666666666666,1.29375,75.04166666666667,56.666666666666664
2022-09-21,32.145833333333336,20.254166666666666,440.0833333333333,50.22083333333333,26.041666666666668,83.08333333333333,0.42416666666666664,11.333333333333334,1.4645833333333333,75.625,53.791666666666664
2022-09-22,31.995833333333334,20.066666666666666,293.5833333333333,34.170833333333334,21.1125,91.08333333333333,0.41208333333333336,11.833333333333334,1.5166666666666666,71.5,47.291666666666664
2022-09-23,36.175000000000004,23.075,446.7083333333333,47.32916666666667,27.787499999999998,88.83333333333333,0.38166666666666665,11.333333333333334,1.6333333333333335,74.95833333333333,49.75
